date,sentiment,text
2017-10-01,4,They're like those telemarketers from India who claim they're from Microsoft and tell you there's a virus. Don't believe them? They move on
2017-10-01,4,"Top story: Microsoft news recap: Skype getting yet another redesign, Azure rece ?s=tnp"
2017-10-01,2,I've entered the to win the Nextbook Flexx A -in-1 Tablet .
2017-10-01,4,"Normally, Im not a Microsoft fan, but sex does weird things to you."
2017-10-01,2,Mall near me had a microsoft kiosk with the shit. Lots of malls do and let you demo the shit. Try it!
2017-10-01,2,DON'T MISS the /10th Meeting w/ GM special guest:
2017-10-01,4,I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it. Bill Gates
2017-10-01,4,Oh god a big update for windows in before it breaks my boot
2017-10-01,2,windows
2017-10-01,0,We need to get mw2 and mw3 backwards compatible before ww2 comes out. Let's do it!
2017-10-01,0,"Childish!! If you want this crap to stop, then we must boycott the sponsors. I know its tough but Pepsi, AB InBev, Microsoft , Nike...."
2017-10-01,2,Download Microsoft Visio Tool Manual .pdf .epub .doc -micros oft-visio-tool-manual
2017-10-01,4,Make sure you enter to win a Nextbook Flexx A -in-1 tablet with Windows on
2017-10-01,2,Skype in the Classroom - Overview - Microsoft in Education -nyUq
2017-10-01,0,Jada bought me Microsoft points..
2017-10-01,0,the microsoft windows sound effect killed me lmaoooo
2017-10-01,2,"Yes, very soon I hope. Bill Gates is putting his wealth behind it. Roll on!"
2017-10-01,2,I uploaded it from the Windows Twitter app.
2017-10-01,2,New Microsoft Channel Chief Phil Sorgen: Exclusive Interview - Microsoft ( MSFT ) Channel... .net
2017-10-01,2,Weekend reading: rare interview of Microsoft 's CEO Satya Nadella and Bill Gates -rar e-joint-interview-with-microsoft-ceo-satya-nadella-and-bill-gates-1506358852?%3Fmgrod%2Faccounts-wsj&modjcm_fcfeml1
2017-10-01,2,Microsoft Xbox - Original - Console Only - Untested $39.95 via eBay
2017-10-01,2,Word of Quarter End Propaganda! $ IBM 's Diversity & Inclusion Culture Video is Propaganda? $ msft $ brk $ iep $ ge $ gm $ crm $ cmg $ dis $ pep $ ko $ f
2017-10-01,2,Yeah Microsoft is frustrating. Switched over to King soft and have never looked back. Free and does everything MS does
2017-10-01,4,Perfectly fine for me. Ive never had any problems with the Microsoft store
2017-10-01,4,Windows Tip: Work better together with Microsoft Excel
2017-10-01,4,MICROSOFT Ignite - YouTube channel
2017-10-01,4,The Microsoft Graph is about to light up a new way for business users to search
2017-10-01,2,"The world is like Microsoft word, you have reached your word count. Shut up."
2017-10-01,4,NEED HELP! Activation ng Microsoft Office product key. Slap soil me
2017-10-01,2,I added a video to a playlist ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But
2017-10-01,2,That's not the blast I remember at the msft store. Bring the
2017-10-01,2,Child grow up to be Bill Gates . But Child grows up with inmates!
2017-10-01,4,Bill Gates and I have a combined net worth of approximately billion
2017-10-01,4,"Windows closing in on Windows , could overtake it by the end of the year"
2017-10-01,4,Intel Corporation Eected To Extend Higher $ INTC Also $ AMD $ AAPL $ MSFT $ NVDA $ GOOGL
2017-10-01,4,Intel Corporation Eected To Extend Higher $ INTC Also $ AMD $ AAPL $ MSFT $ NVDA $ GOOGL
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,General purpose computing moves closer to reality with new programming language
2017-10-01,2,Microsoft quietly edits Forza Motorsport 'VIP' listing after
2017-10-01,4,Pay attention to this amazing news: Bill Gates has rejected Windows mobile and now uses android here is why:
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity - ?id=1626385"
2017-10-01,4,"Bill Gates , we need to kill billion ppl. Vaccines and health care- we can do it-"
2017-10-01,4,Windows is good
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,Hmm Steve jobs buys Microsoft This morning i got up at night
2017-10-01,2,Xbox One S GB Console - Forza Horizon Bundle [Discontinued] by Microsoft % Sales
2017-10-01,2,"Yes I have seen one in the wild , a"
2017-10-01,0,I liked a video ?a Microsoft Surface Studio Unboxing!
2017-10-01,0,Microsoft quietly edits Forza Motorsport 'VIP' listing after
2017-10-01,4,Good article and info. Didn't Microsoft in the past abuse this? I think they did but it seems they are being goods reps of it now.
2017-10-01,0,The NFLs Microsoft Surface promotion makes me laugh because those things have been out for like years & Ive never seen anyone with one.
2017-10-01,0,They use to have Movie Maker before Windows
2017-10-01,0,"Microsoft paid for it, so don't get your hopes up."
2017-10-01,4,Ford is now designing cars in mixed reality using Microsoft HoloLens
2017-10-01,2,"Over the next years, we need people to keep believing in the power of innovation. - Bill Gates"
2017-10-01,2,Bill Gates has rejected Windows Mobile and now uses Android. Here's why: via Forbes
2017-10-01,2,Why Bill Gates Chose Android And Rejected Windows Mobile:
2017-10-01,0,"I'm chryna catcha plane, Microsoft . Eff you too."
2017-10-01,0,I liked a video ?a Windows Fall Creators Update: Joe Belfiore demos Microsoft Fluent Design System
2017-10-01,0,Maybe if they used iPads we could have had the first touchdown and not needed this bullshit game to go on any longer saves.
2017-10-01,0,Free eBooks from Microsoft Press via /r/FreeEBOOKS
2017-10-01,2,"NHL ( Microsoft Xbox One, )"
2017-10-01,4,Meanwhile my main PC has been upgraded continually since Windows .1 without any issues.
2017-10-01,0,My word is going to make me hate an song and I didn't think that was possible. Fuck.
2017-10-01,2,I liked a video ?a How to install Windows on Mac using an external drive
2017-10-01,2,Just completed the Teacher academy: Windows course on the Educator Communi - Win10 via
2017-10-01,2,Waiting arrival of eecting major announcements from & next weeks
2017-10-01,2,kind of dying to know why microsoft s advertising came to describe its laptop as soft
2017-10-01,2,"Forbes "" Bill Gates has rejected Windows Mobile and now uses Android. Here's why: """
2017-10-01,4,Im..... Bill Gates who???
2017-10-01,4,Microsoft Previews More of its 'Fluent Design' for Windows
2017-10-01,4,"Man, people who work at Microsoft seem to really really love working at Microsoft"
2017-10-01,2,GTA V New en ebay: Grand Theft Auto V ( Microsoft Xbox One ) Video Game GTA V
2017-10-01,2,Enter to win a Nextbook Flexx A convertible Tablet/PC!
2017-10-01,2,"In Feature Minecraft big Update can add Mods menu what Do you think for idea on android, IOS & Windows"
2017-10-01,0,"Im finally writing and now my Microsoft Word wants to freeze up. Not tonight, Satan!"
2017-10-01,4,"FYI, Microsoft windows supports Safari"
2017-10-01,2,Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But I... via
2017-10-01,0,"stg microsoft word is on crack,,,i slightly change the size of a picture and the image itself & others shift out of existence ????"
2017-10-01,2,Microsoft quietly edits Forza Motorsport 'VIP' listing after backlash ?utm_source=ifttt
2017-10-01,0,". Microsoft U wont email me a new password, I cant recall the old one, you dont have my phone NO APP download fr ME -EVER"
2017-10-01,2,[!Giveaway $25 Microsoft Store card!] raid time boiiis :
2017-10-01,2,Sunday Surprise: Tech Summit -18
2017-10-01,0,imagine getting it through the Windows store
2017-10-01,2,I liked a video ?a Microsoft makes fun of Apple! (You will hate Apple after seeing this)
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,Microsoft introduces chatbot to enable advertisers with personalised customer engagement -introduces-chatbot-enable-advertisers-with-personalised-customer via
2017-10-01,4,"I'm at Microsoft Theatre - for Tzu Chi: Thousands of Helping Hands Concert in Los Angeles, CA"
2017-10-01,4,Evan Davis meets Microsoft CEO Satya Nadella (extended interview) - BBC Newsnight
2017-10-01,4,If The Majority of $ IBM Employees Are in India Then This is Propaganda? $ ko $ pep $ crm $ msft $ brk $ iep $ cmg $ orcl $ ge $ gm $ twtr $ aapl $ amzn
2017-10-01,2,Groove Bypass / Code Execution sofficegroove-bypassexec.txt
2017-10-01,4,Not spilt milk but spoiled milk becomes a teachable moment at $ MSFT regarding embracing change and not accepting the status quo.
2017-10-01,2,Excel Code Execution xcel_PoC.zip
2017-10-01,2,Conoce a Bill Gates
2017-10-01,2,Enter to win a Nextbook Flexx A convertible Tablet/PC!
2017-10-01,2,Bill Gates now uses an Android
2017-10-01,2,Anyone got a Minecraft Windows Redeem Code or will let me use there account to download? ill give you all of my methods
2017-10-01,0,How many times are the refs gonna screw us
2017-10-01,0,Windows : the operating system that takes longer to update than to install
2017-10-01,2,Microsoft EDU with Mallory Mack via
2017-10-01,2,"New on eBay! Minecraft ( Microsoft Xbox , ) Video Game"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,That was a touchdown!
2017-10-01,2,Bestsellers in eBooks : Hit Refresh: The Quest to Rediscover Microsoft s Soul and Imagine a Better Future for Everyone
2017-10-01,0,"Although OpenDrive applications can be used on Windows , a network error dialog is displayed periodically. Couldn't connect..."
2017-10-01,2,Got robbed on toe drag touchdown!!
2017-10-01,4,Google & Microsoft Are Building Software to Identify & Trendsetters
